description,skills,status
"As part of the preparation for writing research papers or Honours Theses, this course aims to help students understand the interpretative strategies, modes of argumentation, criteria for evaluating claims, analyses and theories, as well as expectations and conventions governing research in diverse areas of literary studies. The major topics will include research areas and questions; research claims; interpretative methods; evidence and argumentation; critical evaluation of academic argument; and rhetorical conventions and strategies.",,pending
The Honours Thesis is usually done in the final semester of a student's pursuing an Honours degree.,,pending
"This course explores the twinned ideas of usurpation and transgression in English Renaissance literature, analyzing the attempt to cross boundaries that define the norm in the polity and in moral, religious, and sexual spheres. We will look at how hierarchies established by religion, government, and custom seek to maintain and to justify the status quo. We will ask how literary texts register awareness of, and enter into dialogue with, these hierarchies. Different genres such as the play, the love lyric, the devotional lyric, and the epic will be invoked for our analysis of the cultural preoccupation with usurpation and transgression.",,pending
"Short stories are often read but are critically neglected, seen as apprentice work by literary historians for the larger achievement of the novel. This course considers the short story as a uniquely mobile modern genre, circulated globally through magazine and newspaper publication and translation. Students will explore the formal and contextual elements of stories from a variety of historical moments and geographical locations, and the manner in which they engage with the political and social transformations that constitute global modernity.",,pending
"Using a multi-disciplinary and inter-disciplinary perspective, this course provides a historical and epistemological overview of environmental studies. Environmental studies underscore the long tradition in both eastern and western thought and philosophies of human-nature relationships. This course highlights the importance of demography, society, culture, and religion as important variables in understanding the complex equations of environmental processes, changes, adaptations and impacts. The course hopes to bring together current environmental and climate change issues as well as challenges; interrogate the options available in various ways: nature conservation, technological fixes, shifting consumption patterns, alternative energies, environmental education, changing public civic behavior.",,pending
"As a continuation of ENV1101, this course examines the role of human activities such as technological changes, increasing urbanization, market forces and economics, as well as ongoing geopolitical forces in environmental and climate change. Using current global environmental and climate change challenges, this course discusses various ways communities and societies have utilized indigenous knowledge (folk science), scientific evaluations, technological innovations, societal regulations and laws, environmental monitoring (benchmarking, quality controls), and policy prescriptions (based on scientific and societal evaluations) in environmental management at various scales. The course hopes to engage students in thinking about adaptive and mitigation options, both locally and globally in relation to reduced environmental sustainability.",,pending
"This course will first introduce students to Environmental Law, particularly conservation and pollution laws, and how these are passed and implemented at the international, regional (ASEAN) and national (Singapore) levels. It will emphasise that laws alone will not help in ensuring the quality of a country’s environment and the health of its citizens. Laws must be enforced, and the rule of law respected. Good governance is therefore a necessary component of sound environmental management. This course will next examine what constitutes good environmental governance. It will explore environmental and economic policies and how best to resolve the tensions between conservation and development. It will study the setting up of effective administrative institutions, land use planning, the provision of environmental infrastructure (modern sanitation, water treatment plants, transport systems, etc). It will then critically examine the workings of the main administrative agencies that are responsible for environmental management in Singapore. It will also look into the work of local and international non-governmental organisations (NGOs) as well as multi-national corporations and corporate social responsibility in Singapore. Comparisons will be made with the administrative and legal systems in other jurisdictions. This course will be taught by staff members from the Law Faculty as well as the Lee Kuan Yew School of Public Policy.",,pending
"This course provides an introduction to public health, equipping students to understand the critical link between the environment and public health. Students will explore the fundamental principles of environmental health and epidemiology, learn about different study designs used in investigating associations between environmental exposures and health outcomes, gain a deeper understanding of the complex relationships between environmental factors and public health, and apply epidemiological principles to real-world environmental and public health issues through community-based projects. Upon completing this course, students will gain a strong understanding of environmental health and epidemiology and be equipped to tackle pressing environmental health challenges.",,pending
"The Undergraduate Research Opportunity in Environmental Studies (UROPES) aims to provide BES students with a unique opportunity to work with faculty members on an environmental-related research project that is cross-disciplinary in nature. The programme requires students to pursue an environment-related research project under the supervision of at least one faculty member. Through regular meetings with and feedback from their supervisor/s, it encourages students to engage actively in research, discussion, intellectual communication, and other creative academic activities. The experience gained upon the completion of the project will also assist students in preparing for their careers or postgraduate studies.",,pending
"The Undergraduate Research Opportunity in Environmental Studies (UROPES) aims to provide BES students with a unique opportunity to work with faculty members on an environmental-related research project that is cross-disciplinary in nature. The programme requires students to pursue an environment-related research project under the supervision of at least one faculty member. Through regular meetings with and feedback from their supervisor/s, it encourages students to engage actively in research, discussion, intellectual communication, and other creative academic activities. The experience gained upon the completion of the project will also assist students in preparing for their careers or postgraduate studies. This is a UROPS course enhanced with the Research Experience Programme, where students attend seminars and workshops, access writing consultations, receive a grant to do independent research, and present their findings at a conference.",,pending
"Environmental studies integrate a wide range of disciplines and this is reflected in the approaches applied for collecting the data required for answering questions and hypotheses. This course will introduce key methods and techniques used in human and physical geography, and in field and experimental ecology. Students will gain hands on experience in the design, execution and analysis of surveys and experiments. The research methods and techniques taught in this course will be specially selected for, and applied to, environmental questions and context. An awareness of what types of research are realistic given time and resource constraints will be developed.",,pending
"This module is designed for undergraduate students pursuing the Bachelor of Environmental Studies degree with the aim of helping them to develop critical thinking, reading, writing and speaking skills relevant for communication with academia and with the public. The curriculum deals with three main interrelated areas: • Communication with the public - raising public awareness of environmental issues through science-based advocacy • Communication with academia - developing skills in academic writing • Argumentation within environmental studies - examining environmental issues using the Precautionary Principle. This module is taught over 1 semester via a blended approach with a three-hour sectional session per week.",,pending
"Using selective Asian case studies through on-site field studies exposure, experimentation and documentation, this course addresses several key themes: a) understanding the nature of environmental problems (both physical and human induced environmental changes) in specific locations, sites and ecosystems; ii) the human impacts leading to specific environmental problems (pollution, water scarcity, deforestation, dwindling biodiversity); and iii) understanding indigenous adaptive mechanisms and other mitigation options in ensuring environmental sustainability. Students will participate in field studies of key sites, ecosystems and places where such challenges have taken place within the Asian region.",,pending
"This course provides students with firsthand experience in tropical ecology, geography, and the environmental issues surrounding conservation and sustainability. Students will work in small groups to design and execute a research project, using methods and techniques they have learnt previously, and more advanced skills introduced in this course. The course provides a real-world opportunity for students to apply learnt concepts and theories, as well as specific environmental knowledge. Students will develop a broad range of skills and knowledge through experiential learning. The fieldtrip component of the course will last approximately two weeks, conducted within a country in Asia.",,pending
"Environmental Impact Assessment (EIA) is a critical step in any development/infrastructure project that is usually required before work commences. It is a tool used to evaluate the likely environmental effects of the proposed project, taking into account bio-geophysical and socioeconomic impacts. It culminates in a report that has to communicate finding to a broad audience and provide recommendations or solutions to mitigate predicted negative effects on the environment and humans. An EIA represents a preventative, evidence-based, activemanagement approach to environmental protection.",,pending
"This course provides students with first-hand experience in evaluating the complexities of a range of contemporary environmental issues that result from urbanization in a tropical island city. The course provides a real-world opportunity for students to apply environmental concepts and techniques to relevant case studies in Singapore, on topics such as urban-nature connectivity, environmental health, coastal change, and urban pollution. Students will develop a broad range of knowledge and skills through experiential learning and working on research projects in small groups.",,pending
"This course examines current practices and knowledge gaps in environmental sustainability, particularly with an Asia-Pacific focus. Students will be introduced to tools, metrics and evaluation methods used by policymakers, businesses and industries for simulating and managing environmental risks, and improving sustainability practices. Real-world opportunities are presented to students to learn current challenges and solutions from invited speakers, and to develop relevant skillsets through working on sustainability-related problems with industries and external organisations.",,pending
"ENV4101, the last in a series of integrated BES courses, focuses on Singapore and evaluates how it has managed its environmental challenges. In other words, it examines environmental principles, concepts, policies and strategies learned in the preceding courses, but under a local lens. To facilitate this, the format of ENV4101 involves weekly seminars and/or round-table discussions with the key players in these challenges, in other words people ranging from individual activists, to representatives of the NGO, corporate and government sector",,pending
"This is a required course for students whose Qualifying English Test results show that they would benefit from basic English language skills support. Students in the course must pass it before they are allowed to read the next required English course, English for Academic Purposes (ES1103). The purpose of ES1000 is to improve the students' English language skills in reading, writing and grammar. These skills are taught, reviewed and reinforced through online, in class and appropriate out-of-class activities. Assignments include reflections, written assignments and progress tests. This course is taught over 1 semester with a two-hour online lecture/discussion/quiz and a two-hour sectional teaching per week.",,pending
ES1103 serves as a bridging course for students who have taken the university’s Qualifying English Test and are deemed to require additional language support for the academic context. It aims to equip students with the knowledge of the academic genre and the ability to apply such knowledge in academic communication. The course adopts a reading-into-writing approach using themed readings as springboard texts for students’ writing and provides opportunities for analysing and internalising ways of organising academic texts. Students will acquire essential academic skills required to cope with the rigour of academic writing at a tertiary level.,,pending
"The challenges of a global engineer increasingly call upon engineers to think critically and communicate effectively to undertake developmental leadership. This course aims to develop and practise students’ critical thinking and writing skills through analysing case studies in engineering leadership, constructing complex engineering-related problems and solutions, presenting arguments effectively and reflecting on personal leadership development. Relevance to engineering practice is emphasized with references to grounded theories of engineering leadership and the seven missing basics of engineering education.",,pending
"This module aims to equip students with the business communication skills they need to be recognized as leaders among stakeholders – colleagues, superiors, and customers/clients. Working within a dynamic and connected 21st century simulated workplace, students as “executives” will learn critical skill-sets in influential leadership communication in formal and informal business settings: pitching; teamwork, meeting and negotiation; relationship, goodwill and trust-building; and thinking on their feet. The module will emphasise core principles of audience-centred, objective-driven, and context-sensitive communication; intentional, reflective and mindful communication; oral communication fundamentals of verbal, vocal, visual and aural skills; and the 7 C’s of effective business communication.",,pending
"The ES2007D Professional Communication course is a customized core course for Real Estate students. This course has been designed to help students develop their writing and oral skills to prepare them effectively for their prospective career in an increasingly global and competitive environment. Students learn to generate and organize ideas for clear, convincing and effective oral and written messages, present these ideas with linguistic and graphic competence and deliver messages appropriate to their audience, context and purpose. Topics include the fundamentals of interpersonal and intercultural communication, em ail/letter writing skills, report/proposal writing skills, meeting/negotiation skills, and oral presentation skills. Evaluation of competency is based on continual assessment.",,pending
"This module equips students with competencies requiring students to analyze, critique, and communicate engineering ideas in a systematic and thoughtful manner. Students will be introduced to a reasoning in engineering framework (Paul et al., 2019), as well as key principles of effective communication in the field of engineering, such as being purpose- and context-conscious and audience-centric (Irish & Weiss, 2013). These will be applied to analyze engineering ideas in both written and oral communication. Students will also engage in a group engineering conceptual design project aimed at promoting critical analysis and communication within groups.",,pending
"In a context of prolific production and convenient access to content and innovation in the Information Age, how should one critically process and clearly communicate ideas to various audiences? In this course, students will learn to question and articulate their analysis of assumptions and assertions on issues facing the Information Age through processes such as identifying bias and substantiating arguments. The Ennis’ (1986, 2001) taxonomy of critical thinking dispositions will be employed to develop students’ analytical thinking skills and their ability to articulate cogent responses to arguments or to defend their own positions in both written and oral form.",,pending
"This introductory course aims to familiarize students with a broad range of environmental engineering topics. Topics to be covered include historical perspective on environmental engineering; interactions of humans and the environment; environmental regulations; ecology and the environment; fundamental chemical kinetics; chemistry of solutions; overview of biology/microbiology organisms and processes; application of physical, chemical and biological parameters to environmental quality; engineering decision analyses.",,pending
"This module aims to familiarize students with basic principles in environmental chemistry and to provide a foundation for chemical concepts required in later years for Environmental Engineering. Topics covered include Thermodynamics and reaction kinetics, Equilibrium relations; Chemistry of Solutions; Acids and bases; Solution Chemistry; Organic Chemistry; Electrochemistry and redox reactions; Basic Biochemistry; Nuclear reactions. Concepts will be emphasized with respect to environmental sustainability, drawing on applications and examples in environmental science and engineering, ecosystems and environmental impact assessment.",,pending
"The Anthropocene is a proposed new geological era based on the scientific evidence that human impacts on natural environmental processes now rival geological forces in influencing the trajectory of the planetary system. This module provides an insight into contaminant transport and new complex physical interactions between human activities and natural processes. Major topics include energy fundamentals and need for new energy resources, depletion and contamination of natural resources (including minerals, groundwater, air), transport processes in the multimedia environment (advection, diffusion, dispersion, interphase mass transfer, reaction kinetics), as well as introduction to man-made climate change and its ecological and societal implications.",,pending
"This course aims to excite first year engineering students about Environmental Engineering and the science and engineering principles that underlie Environmental Engineering applications. The course equips students with knowledge, critical thinking, computer-aid analysis, and practical experiences that are fundamental to Environmental Engineering. Basic environmental chemistry, microbiology, and hydraulics will be examined through a project-based learning. Thus, students will learn basic principles of chemical and biological processes and will be exposed to the concept of hydraulics. The lab-style teaching provides opportunities for hands-on experiences in 3D model design, digitalization, big-data analysis, and system analysis for environmental pollution control.",,pending
"Singapore is committed to become the World’s greenest city but how can economic development and environmental sustainability combine to create a truly liveable place? Engineers have a significant role to play in developing technical solutions that must be practical and economically feasible. In this course, students practice environmental engineering outside the classroom by teaming up as consultancy firms to undertake real-life projects: for example, monitoring water quality in the Singapore Botanic Gardens or mapping air pollution by drone sensing.",,pending
"This module provides students with the fundamental aspects of water science and technology in water and wastewater treatment. Applied chemistry, microbiology and biology in fresh water, marine water, drinking water and wastewater will be covered. This module will enable students to understand the global cycle, possible contamination and threats to water in nature. Students also learn how to integrate engineering systems to purify natural water for human uses, and recycle water back to global water cycle through the practice of environmental science and technologies.",,pending
"Topics covered in this module include water and wastewater sources, characteristics of water and wastewater (physical, chemical, and biological parameters), principles of physical, chemical, and biological processes for water and wastewater treatment, and water reclamation. Applications of fundamental principles for process analysis and design will be discussed with a focus on commonalities in applications across industry. Laboratory experiments relevant to water quality assessment and engineering are also included in the module.",,pending
"This course explores appropriate technologies to combat environmental issues in lesser industrialized countries, with a focus on sustainable technologies for water and sanitation. It also incorporates technical, socio-cultural, public health, and economic factors into the planning and design of water and sanitation systems. The fieldwork is carried out to implement appropriate technologies being discussed and developed in a classroom. Students will develop sustainable technologies for solving real life problem to adopt appropriate solutions independently as well as teamwork. The student will understand appropriate technologies at the household and small community level, and develop/design sustainable solutions for specific international problems.",,pending
"This course introduces the advanced concept of solid and hazardous waste management and the cleanup processes used around the world. It covers collection, quantification, characterisation, processing, treatment, disposal and resource recovery, along with the circular economy in relation to solid and hazardous waste. It will supply students with in-depth knowledge on the principles of design, construction, operation and maintenance of various treatment and disposal facilities along with engineering, institutional, legal and financial infrastructures.",,pending
"This module equips students with fundamental knowledge of dynamic atmospheric air quality in a changing world. The topics cover the effects of emission sources and pollutants, air quality assessment, atmospheric reactions of air pollutants, principles and implications of vertical mixing and transport of airborne pollutants, and air pollution control strategies and devices. The module aims to enable students to understand dynamic atmospheric processes and to identify air pollution issues associated with varied energy sources and economic development. Students will also learn to assess air quality, quantify air pollutant levels, devise control strategies and recommend engineering solutions to enhance air quality.",,pending
"The course provides students with a strong foundation in environmental microbiology and its application to natural and engineered systems. The course addresses basic microbiological concepts and state-of-the-art environmental biotechnology. Microbial characteristics and function in terrestrial, aquatic environment and air are introduced to better understand biological processes. Microbial biogeochemical cycling of elements is examined with respect to nitrogen, carbon and sulphur. Aspects of molecular microbiology in environmental engineering are introduced with regard to applied biotechnologies. Also, urban microbiology and global emerging issues are introduced with respect to domestic and indoor microbiology, microbial contribution to climate changes, and current environmental issues.",,pending
"This module introduces students to the unit operations and processes application for domestic water supply and wastewater treatment. Integration of physical, chemical and biological processes is the basis of current water and wastewater design practice. This module will enable students to understand the main treatment processes and engineering concerns of water and wastewater treatment systems. Students learn to identify the appropriate treatment system to address water and wastewater treatment needs and design basic processes of water and wastewater treatment systems.",,pending
"This course introduces students to the biological aspects of wastewater biotechnology. These include process metabolism, biology and functions in activated sludge, anaerobic digestion, nutrients removal and biofilms processes. This course will enable students to expand their background of environmental technology in the biological aspects of wastewater treatment processes, and to integrate the biological aspects of wastewater treatment into the physical and chemical aspects previously learned. The students will also learn how to identify solutions for operational problems associated with wastewater treatment processes through the microscopic observations.",,pending
"This course introduces the student to the application of the basic concepts in pipe and open channel flows that were covered earlier to the design of the pumping system and associated facilities in a water or sewage treatment plant. Topics covered include selection of pumps for optimal efficiency,hydraulic design of the pump sump and the sewage/treated water delivery system and surge mitigation. Students will be involved in a project on the design of such a system.",,pending
"The module is designed to provide senior undergraduate students with basic knowledge of membrane technology and its applications in environmental fields. This module introduces the basic concepts and knowledge of membrane processes. Students will learn membrane classification, module types, and process configuration, and separation mechanisms. Topics cover the applications membrane processes in the treatment of surface water, groundwater, seawater, and wastewater. The fundamental principles for design and operation of membrane processes will also be addressed.",,pending
"Sustainability is the key to economic growth in the twenty-first century. With increasing global demand for energy, growing energy insecurity, and adverse impact of fossil fuel consumption on climate change, it is necessary to focus efforts toward bioenergy production from renewable, low-cost and locally available feedstock such as biomass and biowastes. This course introduces the various theories and technologies for production of bioenergy from various feedstocks. Topics include anaerobic technology for production of methane, bioethanol, methanol, hydrogen and biodiesel from biowastes and biomass, and microbial fuel cell for direct electricity production. Other processes such as pyrolysis of biomass shall also be introduced. Students will gain a comprehensive knowledge on the various options and challenges facing the production of bioenergy.",,pending
"Topics covered in this module include urban water supply and demand, urban water management, identification of urban water quality systems, management strategies, environmental economics, technological and social considerations, capacity planning and management, modeling of water quality enhancement systems, impacts of design and operating protocols, and retrofitting and upgrading considerations. Application of fundamental principles for planning, analysis and design of various types of urban water quality enhancement systems will be addressed.",,pending
"All energy sources have some impact on our environment. Fossil fuels do substantially more harm than renewable energy sources by most measures. It is essential for environmental professionals to improve their awareness of energy, understand and minimise its impact on the environment. It is also important for them to understand the science and technology behind energy generation, distribution and use, based on which effective environmental control programmes can be built to mitigate climate change. Overall, this course provides an insight into the relationship between integration of renewable energy systems and “decarbonisation”, and a broad vision for a sustainable energy future.",,pending
"This course examines the theory and practical application of environmental chemistry and biology for the purpose of identifying contamination sources and forecasting environmental fate and exposure in organisms. The course provides an overview of the emerging field of environmental forensics, which is gaining prominence within government agencies, industry and environmental consulting firms. An interdisciplinary approach is used, introducing the students to fundamental concepts and methodologies from a variety of scientific sub-disciplines including analytical chemistry, molecular biology, ecology, simulation modelling and ecological risk assessment, as well as an awareness of legal and regulatory frameworks related to environmental protection and toxic substance management. The students will learn essential skills to understand technical and legal aspects of complex environmental contamination problems.",,pending
"Environmental Impact Assessment (EIA) is the process of identifying, predicting, evaluating and mitigating the biophysical, social, and other relevant effects of development proposals prior to major decisions being taken and commitments made. The objective of EIA is to ensure that decision-makers consider environmental impacts before deciding whether to proceed with new projects. Participants are introduced to the concept of EIA, its historical evolution and the terminologies that are used worldwide. Lectures will cover the organizational aspects of EIA, the EIA framework and the procedural methods to conduct an EIA, with special emphasis on water and water related issues.Participants will carry out a mini EIA study using the various approaches covered in the module.",,pending
"Adsorption is one of the most fundamental processes in many environmental, chemical and biological processes. It can be used for purification of water and gases. This module begins with an overview of historical and natural/industrialized cases. Various theories on adsorption will be presented in detail. Mathematical modeling tools will be taught. A series of case studies will be presented. Students after learning this module will be able to design various adsorption treatment systems and understand adsorption processes in natural/engineered systems.",,pending
"The students are assigned a design project involving various environmental considerations. The module provides the opportunity for students to work as a team on an environmental project integrating knowledge they have gained from modules they have taken in earlier years. The module will also enhance their interpersonal, communication and leadership skills through group projects, report writing and oral presentations.",,pending
"The students are assigned a design project involving various environmental considerations. This course provides the opportunity for students to work as a team on an environmental project, integrating knowledge they have gained from courses they have taken in the earlier years. This course will also enhance their interpersonal, communication and leadership skills through group projects, report writing and oral presentations.",,pending
"Each student is assigned a research project in environmental science and engineering. This module provides the opportunity for students to outsource for relevant information, design the experiments, analyze critically the data obtained and sharpen their communication skills through report writings and oral presentations.",,pending
"The project offers the opportunity for the student to develop research capabilities. It promotes creative thinking and allows independent work on a prescribed research project. Students undertake the project over two semesters. Each student is expected to spend not less than 9 hours per week on the project chosen from a wide range of topics in environmental engineering field. Assessment is based on the student’s working attitude, project execution and achievement, an interim report and presentation, dissertation and final oral presentation. This course is only available to non-graduating students, by invitation from the Department.",,pending
"This project course is carried out by individual students and offers the opportunity for the student to develop research capabilities. It actively promotes creative thinking and allows independent work on a prescribed research project. Level 4 students undertake the project over two semesters. Each student is expected to spend not less than 9 hours per week on the project chosen from a wide range of environmental engineering-related disciplines. Topics include elements of research and experiments, analyse, and development. Assessment is based on the student’s working attitude, project execution and achievement, an interim report and presentation, dissertation and final oral presentation.",,pending
"This course introduces students to the fundamental electronic principles of sensor systems for a variety of different disciplines. Particular emphasis will be given to circuits that are used in research and development, such as sensor amplifiers, filters, and data-acquisition. The course has both analogue and digital circuit principles, and involves project activities that involve hands-on construction of sensors, their circuits and translating their signals into digital data on to a computer.",,pending
"Students will learn engineering fundamentals like forces and equilibrium, dynamics and understand how materials and structures work and fail. They will also learn the transport phenomena which includes the principles of heat transfer by conduction and convection as well as the mass transfer by diffusion and convection. They will learn the importance of safety in conducting engineering activities, units and dimensions, significant numbers, how to make good guesses to solve engineering problems, vector mechanics and create engineering drawings. The students apply these concepts through building a wooden tower, taking full control of its design, modelling and construction. They will test their towers on a shake-table, and the team with the best design, based on a pre-determined set of metrics, will be given due recognition. They will also conduct a few simple experiments to appreciate the heat and mass transfer processes in different materials. Finally, they apply their knowledge of coupled heat and mass transfer processes for the design, fabrication and testing of a small-scale dryer for the drying of potato slices.",,pending
"This course delves into the core concepts governing continuous media and their behaviours. Within the framework of continuum mechanics, students will explore the mathematical underpinnings and physical laws shaping the deformation and motion of materials such as fluids, solids, and gases. Through rigorous theoretical analysis and hands-on applications, students will develop a profound grasp of stress, strain, conservation laws, and constitutive equations. With a focus on real-world applicability, the curriculum covers a spectrum of topics from fluid dynamics to heat transfer to elasticity, providing a foundational understanding essential for tackling complex engineering challenges.",,pending
"In this course, students are introduced to fundamental numerical methods and programming principles, acquiring the essential skills to apply them effectively in solving diverse engineering and science problems. The curriculum covers a range of topics, including error analysis, interpolation, numerical integration, the solution of linear and nonlinear equations and systems of equations, as well as the solution of ordinary and partial differential equations. Throughout, students will actively engage in writing and debugging their own codes using MATLAB, a widely used matrix-based language for technical computing. Through hands-on exercises and practical examples, students will develop the proficiency to address a wide spectrum of real-world challenges in engineering and science using numerical methods and programming.",,pending
"There are two design projects in this course. First project covers control theory and its applications, open loop systems, closed loop systems, feedback control systems, Laplace transforms, PID controllers and the Root Locus Method. Students apply these lessons to a path follower robot kit. Second project allows students to apply their understanding of Scanning Tunneling Microscopy to design and assemble a setup to maintain stable quantum tunneling. This involves Computer Assisted Design (CAD), digital fabrication of mechanical parts, integration and testing of a closed loop control analog circuit, and data logging and analysis via a PC-based Digital Acquisition (DAQ) system.",,pending
"The aims of this module are to provide a comprehensive coverage of a range of nanofabrication and characterization techniques. The fabrication part will facus on top-down techniques which will complement the bottom-up techniques covered by CM3251 Nanochemistry. Topics to be covered include: Nanofabrication: thin flim deposition, etching, photolithography, EUV, electron beam, x-ray and ion beam lithography, focused ion beam and direct laser writing, scanning probe based techniques, fabrication and alignment of nanostructures, manufacturing of nanodevices and nanosystems. Nanocharacterization: basic principle of imaging, wave diffraction, interaction of energy beams with materials, optical and electron microscopy, scanning probe microscopy, x-ray microanalysis, electron transport measurement, magnetic measurement and optical spectroscopy.",,pending
"Students will learn to create robots that are able to perform appropriate actions after receiving observations from the environment in the face of uncertainty. They will learn recursive state estimation, Kalman filtering, particle filtering and understand robot motion and measurement uncertainties. As robotics and vision serve similar goals, students will also learn computer vision techniques with machine learning to perform vision tasks. They will learn feature extraction in images, dimensionality reduction, principal component analysis, Non-parametric learning methods, Neural Networks and Support Vector Machine. The students will apply their learnt knowledge on a robotic task that involves both localization and vision.",,pending
"This course explores the application of machine learning to create intelligent engineering systems, focusing on robotics that perceive, decide, and act in the face of uncertainty. Students will master foundational machine learning and computer vision techniques for environmental perception, including feature extraction, dimensionality reduction with Principal Component Analysis (PCA), neural networks, deep learning and latest generative AI. To handle the inherent unpredictability of the physical world, the curriculum includes teaching students to manage noisy sensor data and track a robot's state using methods such as state estimation, Kalman Filters, and Particle Filters. This knowledge culminates in a hands-on project where students will integrate both machine learning-based vision and robust localisation to solve a complex, real-world robotic or engineering tasks, bridging the gap between theory and practical engineering implementation.",,pending
"Students will work in teams of 4 or 5 to solve real-world problems, from idea to innovative prototype solutions, in semester 1. Each student will be supervised by several faculty members, one host supervisor who instructs the student on certain specialised techniques, while other supervisors help in the application of these techniques to the specific design projects being carried out. Design project examples are the solar-powered golf buggy and a nanodevice. The project may be structured in such a way that it can be continued in the module ESP3903 Major Design Project II which will be run in semester 2.",,pending
"In this course, students will collaborate in small teams to create tangible, functional prototypes that address complex engineering challenges within a specified project theme. They will engage in iterative design processes, integrating feedback and refining their prototypes to effectively meet project requirements, while applying engineering design principles that emphasise problem definition, literature review, specification of design requirements, and consideration of user needs. Alongside these efforts, students will practice essential skills such as project planning, communication, documentation, and leadership, all crucial for navigating the intricacies of real-world engineering projects.",,pending
"Energy conscious design and efficient operation of energy consuming systems used in industries and commercial buildings remain as a challenge for energy engineers. The course starts with a review of the fundamentals of heat and mass transfer and then introduces central chiller, compressed air, boiler and combined heat and power systems as the major energy consuming systems used in industries and commercial buildings. Topics covered include working principle of above systems, measurement and analysis of energy performance, energy savings opportunities, design of energy efficient systems and operational considerations, control strategies, technical and economic feasibility of energy projects.",,pending
"This course aims to provide fundamental theory of transport phenomena and train students in mathematical modelling. The former comprises the derivation and understanding of the macroscopic and microscopic conservation laws for mass, momentum, and energy, together with the relevant constitutive relations and boundary conditions; the latter focuses on simplified back-of-the-envelope calculations such as scaling and dimensional analysis to complement and aid in the interpretation of results. These concepts are applied to a wide array of simplified as well as industrially relevant problems with focus on energy systems such as wind and nuclear energy, where mathematical models are constructed, solved numerically or analytically and finally presented.",,pending
"In the final year project, spanning two semesters, students will have the opportunity to apply their accumulated knowledge and skills to tackle a substantial real-world problem or research question. Through guided mentorship and independent work, students will conceptualise, design, plan, execute, and present a comprehensive project. Emphasising critical thinking, problem-solving, and innovation, this course fosters creativity and independent learning while honing project management and communication skills. Projects can encompass a wide range of methodologies, including experimental, computational, theoretical, design, or a combination thereof. Culminating in a final, this course prepares students for professional practice or further academic pursuits.",,pending
"This module consists mainly of a research-based project carried out under the supervision of one or more faculty members. The module is normally taken over two consecutive semesters and the students are expected to put in about 15 hours per week for their projects. In addition to the specific problem studied, students are exposed to literature survey and research methodologies. These projects are usually open-ended in nature, giving the students flexibility to judiciously select viable alternatives, and challenge students to acquire skills for independent and lifelong learning. The projects range in variety from design and development projects (software and hardware), computer modelling and simulation, to designing experiments and equipment. Guidelines for project proposals stipulate the requirement for elements of innovation, novelty or research.",,pending
